Cluster,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
NGC_2632,661297321454333312,130.08628648612662,19.686678772398437,5.280352470218332,-35.715060806055284,-13.000832881351394,7.6532135,0.24276447
NGC_2632,661297458893183232,130.13110049688552,19.69523830935101,5.608351846310383,-36.925021405620726,-12.734951513863589,14.4248705,2.0453043
NGC_2632,661297493252924416,130.10875563419248,19.686422854998128,5.341554649792156,-35.74092974450245,-12.487694769567431,9.272019,0.5585451
NGC_2632,661298451027341056,130.0202622490527,19.72920333064781,5.189650667099577,-35.81443348768364,-12.668065570200987,9.68812,0.61769485
NGC_2632,662915940008482304,127.67726459107428,19.37518642269489,5.2878437410878325,-34.542005697097416,-13.425850037511175,17.8237,3.0162582
NGC_2632,662912813272290688,127.712434751381,19.352408918486766,5.5220146417700136,-34.90208473535404,-13.66832888151659,14.130426000000002,1.8176737
NGC_2632,662861136225126016,128.46134744301904,19.782894895804912,5.289922012579906,-34.01812963581089,-12.957088474042234,14.8938875,2.0719748
NGC_2632,662859693116109312,128.5424941906521,19.80489266936606,5.3838970762900695,-34.05106995929848,-13.537260804042942,13.554179,1.5454483
NGC_2632,662849900590743936,128.93763560425256,19.771104221298085,5.226868510982822,-36.15402835840538,-13.123207750327804,7.445494999999997,0.2102293999999999
NGC_2632,662855810465648000,128.82047385630068,19.914762306251266,5.260482352121957,-34.692568798456804,-13.858443789718304,15.831954,2.4515247
NGC_2632,662859104704260224,128.6003469386114,19.79336120206045,5.218649240961907,-34.12525664531562,-12.638884051369624,12.869772,1.3162785
NGC_2632,661391157898332160,131.20278936192454,20.29050321111217,5.392164184118453,-36.66215568139023,-13.156931997252832,12.608421,1.2576647
NGC_2632,661766778557840000,131.26744414921714,20.357684991560813,5.5721179495426885,-37.1155142024987,-13.639586032866832,10.244328,0.69141865
NGC_2632,661383770554619136,130.8344050753098,20.0792715668653,5.124435218478911,-37.427369538946735,-13.465094011805467,17.564,2.9069977
NGC_2632,659427464490677632,129.7116868445631,18.014521091343784,5.534791168473926,-35.057108742375696,-11.115629740830402,16.745358,2.7326422000000004
NGC_2632,661386244455690752,130.89789291743585,20.18952576395745,5.299155292910631,-37.633273104283575,-13.690772839712553,10.004918,0.6644373
NGC_2632,661387992505550080,131.16963898447682,20.19358155394672,5.4191002377748205,-36.62735691584921,-14.204185855102216,13.838399,1.6990889999999998
NGC_2632,659674614089017984,129.84765885851826,18.666425216498183,5.313456636728339,-35.61584632760254,-11.658669385744652,15.243823999999998,2.221177
NGC_2632,661391535855469312,131.04832996465396,20.21663945580501,5.490802745916319,-37.06942849069693,-11.399108382356967,16.95824,3.0071802000000005
NGC_2632,661391982532062848,131.09653561676188,20.232077309123856,5.377317849833956,-37.735235695138456,-14.618566100731526,17.376284,2.9227314
NGC_2632,661394525152691840,131.14354395937198,20.341483271394907,5.331819138067174,-37.25027340559463,-13.041215041556573,17.048374,2.8077612000000003
NGC_2632,661396140060387456,130.4237467555038,19.83256016899801,5.420313552225831,-36.25684592717936,-12.29945141978814,17.490414,2.7644596000000003
NGC_2632,661396754238802816,130.45849949663014,19.874113962387813,5.461902979178197,-36.83024154322136,-13.860402091369874,6.645986,1.1092877
NGC_2632,661397308291492608,130.36148413709887,19.87677255403708,5.128714650758028,-35.920853898740404,-12.374903431757216,17.879969,3.1329918
NGC_2632,661344188136057984,130.56438695110643,19.687597946667683,5.518618150761641,-36.69286654118898,-13.678258138055035,9.772018,0.62197304
NGC_2632,661356488922418944,130.71026409233198,19.917636994206045,5.238767230072216,-36.80361244920371,-12.503199679465425,16.354135999999997,2.6480083
NGC_2632,662859654460073984,128.514645004267,19.795229210544942,5.404221178890076,-35.02334766190793,-12.927694560958546,12.975932,1.3657055
NGC_2632,661314638762274176,129.94595434826866,19.827566364728405,5.339568163430909,-35.21594976507188,-13.205086697987705,12.452263,1.1715021
NGC_2632,661358241268943616,130.65657683826453,19.988528832659984,5.137910433735648,-34.20777526248827,-12.365392022715607,17.374935,2.9737606
NGC_2632,659550884671134336,128.9465990218751,18.14158594426156,5.555582279760752,-36.7325510146461,-12.486732270080555,16.529835000000002,2.7884264
NGC_2632,659674614089018112,129.84724327653572,18.665529491051355,5.35918122496276,-35.07725871800224,-12.399306041653457,17.708584,3.0327873
NGC_2632,659685231248166784,129.82857373982625,18.81008782147059,5.58354850556575,-34.48739228369516,-12.247708007516923,16.658535,2.8067912999999995
NGC_2632,661749048932896512,131.41854467466342,20.173743041421453,5.513859966757155,-37.52116755302278,-12.681252983054854,16.246347,2.592248
NGC_2632,661598175321463936,132.20810043181058,20.443276101188296,5.25944835151913,-37.42719855384756,-12.5462761135915,15.186316,2.2085485
NGC_2632,661588004838893568,132.3910830038296,20.50803073723484,5.427675551057106,-38.24148118960109,-13.174532251198428,9.225971,0.5406456000000001
NGC_2632,661573608108602752,132.20457350134427,20.22420594549211,5.397478257354852,-37.79584405313844,-12.487681716856727,15.156143,2.1945791
NGC_2632,661528184534528896,132.54257982220574,20.14854772410148,5.525045642160928,-38.34723062975032,-13.46694196876756,14.287753,1.8939362
NGC_2632,661492274311844352,132.03088586474772,19.916391436705908,5.15572642113924,-37.67526476990672,-13.060758569500384,17.384491,2.9336414
NGC_2632,661401225301656192,130.39079753994815,19.96903027040993,5.447321736595772,-36.22621213287981,-13.79011342003161,11.508884,0.94551945
NGC_2632,661490693763838976,132.00519713974847,19.827490904799188,5.362663116878052,-36.9353856368092,-13.064851607308158,17.4716,2.9522724
NGC_2632,661488052360088704,132.09807573648152,19.8365532817697,5.595225024752297,-37.99883219088296,-13.133465671515744,16.569553,2.7396584
NGC_2632,661485337940766208,131.97513389594508,19.73269445054632,5.579964119039148,-38.51161532271897,-12.283923996521375,17.623762,3.0408878
NGC_2632,661470460174102144,132.27778776308077,19.68645101347044,5.316082656652089,-36.73278896133189,-11.811059568613867,11.7212715,0.9785738000000002
NGC_2632,661460083533415040,130.85405574296436,20.565317202503888,5.356941055740768,-36.33436304489023,-12.981537374533383,14.438608,1.9217014
NGC_2632,661459774295768960,130.9035356364515,20.53716413729072,5.300755075890218,-37.80805193833669,-13.2775867475648,15.356056,2.2676458
NGC_2632,661458915302263296,130.73600329032877,20.5116361336208,5.359070178139411,-35.32241403045426,-14.020921951327033,17.446798,2.9190998
